review_id,username,review_text,rating,date,app_version,thumbs_up,platform,text_clean,sentiment,word_count,aspek_rasa,aspek_harga,aspek_aplikasi,aspek_pelayanan,aspek_kecepatan,aspek_stok,aspek_pengiriman,aspek_pesanan,aspek_umum
9e9c457f-c956-468b-90ea-18c2869131fe,Trisila Wati,kopinya bikin melek semaleman,5,2026-06-18 08:32:09,,0,playstore,kopi bikin melek maleman,positive,4,1,0,0,0,0,0,0,0,0
31dc72cd-f9ba-4e50-a59b-8801b46924f8,ayu chantikaf,sip bagus,5,2026-06-17 23:31:20,126.06.11,0,playstore,sip bagus,positive,2,0,0,0,0,0,0,0,0,1
f6625813-851d-48ec-af38-7578b0bdfedf,adim,bagus banget,5,2026-06-17 22:13:56,126.06.11,0,playstore,bagus banget,positive,2,0,0,0,0,0,0,0,0,1
15148cc3-1e78-4eba-a653-7783a6a18dee,Erisvina Dintasari,suka aj sama promo dan rasa kopi kopi nya enak,5,2026-06-17 21:35:12,,0,playstore,suka promo kopi kopi nya enak,positive,6,1,1,0,0,0,0,0,0,0
64d7ccf7-06b5-42cb-8a3b-c3d1385a4579,cantie hariasih,varian bnyak jadi g bosen meski tiap hari🤩,5,2026-06-17 21:11:52,126.06.02,0,playstore,varian bnyak g bosen,positive,4,0,0,0,0,0,1,0,0,0
eb0078a0-8c2a-4b9a-a275-221ed824b755,Mama Anak-anak,suka🤩,5,2026-06-17 18:57:21,126.05.21,0,playstore,suka,positive,1,0,0,0,0,0,0,0,0,1
1909978e-8755-404d-8e4a-db66ecf579bc,Clairine 1A,aku sih yes,5,2026-06-17 17:34:27,126.06.02,0,playstore,sih yes,positive,2,1,0,0,0,0,0,0,0,0
4532ca85-edb5-4ef7-8d40-6395629474e7,Yahoo6969,"bagusss banyak promo dan pelayanannya menurut gw lebih enakan disini, kyk ada privillage tersedniri",5,2026-06-17 17:17:46,,0,playstore,bagusss promo layan enak sini privillage tersedniri,positive,7,1,1,1,0,0,0,0,0,0
e7e31026-ea92-4520-8c79-99eaf18cc71e,Zulhan Azi,kopi paling mantapp,5,2026-06-17 16:30:37,,0,playstore,kopi mantapp,positive,2,1,0,1,0,0,0,0,0,0
7a5af8d7-f388-4059-8580-d9407901ec7a,Faridah Faridah,kopi nya muanteppp apalagi yg bikin mantep kelas😂,5,2026-06-17 14:53:41,126.06.02,0,playstore,kopi nya muanteppp bikin mantap kelas,positive,6,1,0,0,0,0,0,0,0,0
